GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springboot-demo,com.kd.backend.springboot.service,FilmServiceImpl,49,38,0,0,10,7,3,3,3,3
springboot-demo,com.kd.backend.springboot.service,ActorServiceImpl,16,50,0,0,2,4,1,4,1,4
springboot-demo,com.kd.backend.springboot.entity,Film,238,41,54,0,0,7,33,11,6,11
springboot-demo,com.kd.backend.springboot.entity,Actor,210,23,46,0,1,5,31,7,8,7
springboot-demo,com.kd.backend.springboot.dto,FilmDTO,230,45,54,0,0,7,31,13,4,13
springboot-demo,com.kd.backend.springboot.dto,ActorDTO,164,31,38,0,0,5,23,9,4,9
springboot-demo,com.kd.backend.springboot.dto,ErrorDTO,106,15,22,0,1,3,17,3,6,3
springboot-demo,com.kd.backend.springboot.mapper,ActorMapper,18,25,0,0,5,7,1,2,1,2
springboot-demo,com.kd.backend.springboot.mapper,FilmMapper,22,44,0,0,6,9,1,2,1,2
springboot-demo,com.kd.backend.springboot,SpringBootApplicationDemo,5,3,0,0,2,1,1,1,1,1
springboot-demo,com.kd.backend.springboot.controller,GlobalExceptionHandler,10,13,0,0,1,2,1,2,1,2
springboot-demo,com.kd.backend.springboot.controller,ActorController,0,88,0,0,0,16,0,9,0,9
springboot-demo,com.kd.backend.springboot.controller,FilmController,0,42,0,0,0,8,0,5,0,5
